ProductName,ProductImage,Price
Mysterious Box of Mystery,Successfully downloaded,$29.99 to $74.99
Pyro Mini Fireshooter,Successfully downloaded,$149.00
Feisty Pets,Successfully downloaded,$9.99 to $19.99
Sex Panther Cologne,Successfully downloaded,$39.99
The Human Slingshot,Successfully downloaded,$99.99
The Original Buddha Board,Successfully downloaded,$13.99 to $34.99
Pop It Pal,Successfully downloaded,$19.99
TurboSpoke Bicycle Exhaust,Successfully downloaded,$2.99 to $19.95
Tiny Hands,Successfully downloaded,$8.99
Gigantic Lava Lamp,,$84.99
Giant Stress Ball,,$19.99
Potato Parcel,,$9.99
Tie-Not Battle Pump,,$8.49
Confetti High-Fives,,$4.99 to $7.99
Become a Laird or Lady Gift Box,,$19.99
Liquid Ass,,$9.99
Joker Birthday Card,,$9.99
Blendy Pens,,$5.99 to $16.99
Smencils Gourmet Scented Pencils,,$13.99
Sticky the Poo,,$5.99
Colorful Ferrofluid,,$59.99
Desktop Punching Bag,,$19.99
Shock Ball,,$24.99
The Magic Butterfly,,$4.99
Ostrich Pillow,,$99.99
Fuzzy Wuzzy Kitty Bank,,$19.99
Strawz Connectible Drinking Straws,,$9.99
Beer for Dogs,,$4.99
Ostrich Pillow Light,,$44.99
Ferrofluid in a Bottle,,$29.99 to $49.99
Vortex Bank II,,$16.99
Feel Flux Skill Set,,$78.99
Mustachifier Pacifiers,,$9.99
Four Leaf Clover,,$12.99
Gorilla Grabber,,$12.99
Bailey the Dog Bank,,$19.99
Farts in a Jar,,$11.99
Banana Bunker,,$5.99
The Dirty Dunk,,$24.99
Recordable Prank Card,,$11.99
Super Mario Mini Question Block Light,,$14.99
Japanese Food Erasers,,$6.99
PonyCycle,,$249.99
Magnetic Sand Hourglass,,$17.99
Elon's Musk Air Freshener,,$8.50
Hyperlips,,$9.99
Dollar Coin Guitar Pick,,$9.99
Flying Wish Paper,,$8.99 to $15.99
Poo-Pourri and Trap-a-Crap,,$9.99 to $14.99
Dirty Hand Sanitizers,,$5.99
